Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,7183.88,7267.16,7171.82,7189.94,11872.0
02.01.2020 00:00:00.000,7189.94,7224.84,6945.83,6965.72,26531.32
03.01.2020 00:00:00.000,6965.72,7407.11,6882.62,7339.7,51975.01
04.01.2020 00:00:00.000,7339.7,7405.75,7278.6,7357.5,22083.57
05.01.2020 00:00:00.000,7357.5,7501.42,7330.07,7359.96,24084.13
06.01.2020 00:00:00.000,7359.96,7799.63,7355.11,7762.69,46443.66
07.01.2020 00:00:00.000,7762.69,8218.63,7736.57,8160.36,75423.75
08.01.2020 00:00:00.000,8160.36,8458.65,7873.97,8045.15,85087.59
09.01.2020 00:00:00.000,8045.15,8047.11,7757.04,7817.35,40045.64
10.01.2020 00:00:00.000,7817.35,8192.05,7682.56,8190.31,55534.09
11.01.2020 00:00:00.000,8190.31,8287.42,8003.87,8024.58,30734.63
12.01.2020 00:00:00.000,8024.58,8185.14,7968.4,8181.49,17525.61
13.01.2020 00:00:00.000,8181.49,8200.4,8057.37,8106.56,22746.0
14.01.2020 00:00:00.000,8106.56,8874.07,8106.4,8820.95,89444.78
15.01.2020 00:00:00.000,8820.95,8890.04,8559.93,8813.21,50394.79
16.01.2020 00:00:00.000,8813.21,8846.78,8586.56,8719.63,33539.82
17.01.2020 00:00:00.000,8719.63,9004.35,8665.99,8894.83,48787.4
18.01.2020 00:00:00.000,8894.83,8974.65,8807.26,8909.28,19872.9
19.01.2020 00:00:00.000,8909.28,9177.39,8508.15,8702.59,47750.9
20.01.2020 00:00:00.000,8702.59,8737.36,8521.52,8634.03,21888.47
21.01.2020 00:00:00.000,8634.03,8771.75,8479.9,8724.84,22731.19
22.01.2020 00:00:00.000,8724.84,8793.74,8582.43,8667.26,17278.13
23.01.2020 00:00:00.000,8667.26,8680.93,8290.98,8394.28,38348.08
24.01.2020 00:00:00.000,8394.28,8517.5,8225.83,8431.78,27811.03
25.01.2020 00:00:00.000,8431.78,8444.32,8263.42,8345.88,14296.82
26.01.2020 00:00:00.000,8345.88,8605.33,8302.57,8602.37,22444.54
27.01.2020 00:00:00.000,8602.37,8991.01,8572.37,8898.94,37524.75
28.01.2020 00:00:00.000,8898.94,9407.39,8892.58,9391.97,51850.54
29.01.2020 00:00:00.000,9391.97,9429.16,9234.27,9286.18,36978.22
30.01.2020 00:00:00.000,9286.18,9561.26,9181.72,9501.38,45852.79
